, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,Fold1,,,,Fold2,,,,Fold3,,,,Fold4,,,,Fold5,,,,Fold6,,,,Fold7,,,,Fold8,,,,Fold9,,,,Fold10,,,
,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc
Cloth,0.68,0.74,0.71,0.78,0.79,0.78,0.78,0.82,0.79,0.84,0.81,0.84,0.9,0.83,0.86,0.88,0.71,0.86,0.78,0.82,0.82,0.67,0.74,0.79,0.68,0.64,0.66,0.75,0.8,0.84,0.82,0.85,0.84,0.76,0.8,0.83,0.78,0.8,0.79,0.83
No Mask,0.86,0.79,0.82,0.85,0.78,0.74,0.76,0.8,0.85,0.76,0.8,0.84,0.75,0.9,0.82,0.85,0.86,0.87,0.87,0.88,0.84,0.85,0.84,0.86,0.84,0.59,0.69,0.76,0.91,0.78,0.84,0.86,0.88,0.75,0.81,0.84,0.8,0.81,0.81,0.84
Surgical,0.66,0.71,0.69,0.76,0.75,0.59,0.66,0.74,0.68,0.84,0.75,0.8,0.75,0.81,0.78,0.82,0.73,0.8,0.76,0.81,0.75,0.69,0.72,0.78,0.71,0.76,0.73,0.79,0.79,0.8,0.8,0.83,0.73,0.85,0.78,0.82,0.68,0.89,0.77,0.81
n95,0.77,0.54,0.64,0.73,0.7,0.92,0.79,0.83,0.89,0.62,0.73,0.79,0.73,0.83,0.77,0.81,0.84,0.64,0.73,0.79,0.77,0.85,0.81,0.84,0.81,0.75,0.78,0.82,0.82,0.89,0.85,0.87,0.73,0.84,0.78,0.82,0.81,0.69,0.74,0.8
Incorrect,0.69,0.84,0.76,0.8,0.82,0.78,0.79,0.83,0.8,0.88,0.83,0.86,0.91,0.6,0.72,0.78,0.89,0.81,0.85,0.87,0.78,0.89,0.83,0.86,0.66,0.9,0.76,0.81,0.9,0.9,0.9,0.91,0.88,0.8,0.83,0.86,0.9,0.72,0.8,0.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fold1,,,,Fold2,,,,Fold3,,,,Fold4,,,,Fold5,,,,Fold6,,,,Fold7,,,,Fold8,,,,Fold9,,,,Fold10,,,
,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc,P,R,F1,Acc
Cloth,0.83,0.80,0.82,0.85,0.91,0.77,0.83,0.86,0.82,0.68,0.74,0.80,0.86,0.86,0.86,0.88,0.67,0.89,0.76,0.81,0.79,0.89,0.83,0.86,0.85,0.86,0.85,0.87,0.76,0.81,0.79,0.83,0.88,0.75,0.81,0.84,0.85,0.90,0.87,0.89
No Mask,0.84,0.96,0.90,0.91,0.84,0.91,0.87,0.89,0.79,0.84,0.81,0.84,0.89,0.93,0.91,0.92,0.82,0.85,0.83,0.86,0.85,0.84,0.84,0.86,0.81,0.88,0.84,0.86,0.92,0.76,0.84,0.86,0.86,0.84,0.85,0.87,0.85,0.88,0.86,0.88
Surgical,0.83,0.73,0.77,0.82,0.80,0.83,0.81,0.84,0.70,0.76,0.73,0.79,0.78,0.80,0.79,0.83,0.82,0.79,0.80,0.84,0.82,0.70,0.76,0.80,0.91,0.79,0.85,0.87,0.76,0.78,0.77,0.81,0.74,0.64,0.69,0.76,0.81,0.78,0.79,0.83
n95,0.81,0.84,0.83,0.85,0.82,0.86,0.84,0.86,0.79,0.72,0.75,0.80,0.80,0.84,0.82,0.85,0.88,0.69,0.77,0.81,0.81,0.89,0.85,0.87,0.79,0.85,0.82,0.85,0.84,0.80,0.82,0.85,0.74,0.84,0.79,0.83,0.86,0.86,0.86,0.88
Incorrect,0.86,0.85,0.86,0.87,0.91,0.90,0.91,0.91,0.80,0.89,0.84,0.86,0.92,0.81,0.86,0.88,0.85,0.75,0.79,0.83,0.92,0.86,0.89,0.90,0.90,0.88,0.89,0.90,0.78,0.89,0.83,0.86,0.78,0.92,0.84,0.87,0.84,0.78,0.81,0.84
